ticker,asset_class,series_type,start_date,end_date,observations,total_return_usd,annualized_return,annualized_vol,sharpe,missing_values
CASH_CHF,cash,asset,2022-12-30,2025-12-26,781,0.025939545317225088,0.008297350541775161,4.2659392110185767e-4,19.3703000253115,0
CASH_EUR,cash,asset,2022-12-30,2025-12-26,781,0.20943328615316736,0.06594284316891263,0.07086883240799839,0.9012113812540867,0
CASH_GBP,cash,asset,2022-12-30,2025-12-26,781,0.29157484925859944,0.08889055237899313,0.07219740879485058,1.1797338462558153,0
CASH_USD,cash,asset,2022-12-30,2025-12-26,781,0.16128943243889382,0.04943110290469588,3.533098746903027e-4,136.5736798265326,0
CCY_EUR,currency,currency,2022-12-30,2025-12-26,781,0.041457239142497215,0.015734653266928245,0.07086382195061598,0.22031877749805331,0
CCY_GBP,currency,currency,2022-12-30,2025-12-26,781,0.11219030603428859,0.03760098269957024,0.07218525178195151,0.5113787593950933,0
CNEQ_CN,equity,asset,2022-12-30,2025-12-26,781,0.409147352589565,0.15001305116731545,0.2402124446266618,0.5820350464289867,1
DEBO10,rates,asset,2022-12-30,2025-12-26,781,0.12085822806443614,0.0399698099468071,0.06905513673734366,0.567586039791627,0
EUEQ_DE,equity,asset,2022-12-30,2025-12-26,781,0.9227323401348888,0.25204138589327174,0.1665813249823519,1.3499448615943939,0
EUEQ_ES,equity,asset,2022-12-30,2025-12-26,781,1.6044297573497923,0.3820161580570647,0.17134734509938207,1.889443953108641,0
EUEQ_FR,equity,asset,2022-12-30,2025-12-26,781,0.5139242170473042,0.15869383940357573,0.16428472140900963,0.896835832431839,0
EUEQ_IT,equity,asset,2022-12-30,2025-12-26,781,1.411112945730781,0.3503337817416827,0.18092706616190898,1.6610608662662436,0
GLGOLD,commodities,asset,2022-12-30,2025-12-26,781,1.433008247152764,0.34988599279462274,0.15981673515671369,1.8783940562275208,1
THEME_COPPER_CL,equity,asset,2022-12-30,2025-12-26,781,0.7322479379392943,0.22524874713471132,0.22646610580077492,0.8973783665829504,1
THEME_DEFENCE,equity,asset,2022-12-30,2025-12-26,781,1.132877418974485,0.2917188564033726,0.14981316306648232,1.7094881529453356,1
THEME_GRID,equity,asset,2022-12-30,2025-12-26,781,0.8368438448363973,0.2376304944851262,0.18338696774726557,1.1630535904448653,1
THEME_SOLAR,equity,asset,2022-12-30,2025-12-26,781,-0.29907529722589254,-0.04525973858398136,0.37063623306517274,-0.12495188789790779,1
UKBO10,rates,asset,2022-12-30,2025-12-26,781,0.087283425108869,0.03015830728105895,0.07371733770488675,0.40308344638220367,0
USBO10,rates,asset,2022-12-30,2025-12-26,781,0.105675956728009,0.03602947897292452,0.07676174592709292,0.4611422465529926,1
USEQ_US,equity,asset,2022-12-30,2025-12-26,781,0.8838887652512446,0.2404589987973753,0.14783620430037947,1.4581923706627968,1
